"DairyName","BusinessEntity_ID","BusinessEntity_ID_Flag","Physical_Address","Municipality","State","ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Municipal_WaterProvider_OWF_ID","Municipal_WaterProvider_OWF_ID_Flag","Latitude","Longitude","Lat_Long_Flag","WaterSource_GNIS_Name","WaterSource_GNIS_Name_Flag","WaterSource_GNIS_ID","WaterSource_GNIS_ID_Flag","Formation_Date","Formation_Date_Flag","Dissolution_Date","Dissolution_Date_Flag","Website","Website_Flag"
Desert Dreams Dairy,20171874485,G,4716 44th Lane,Avondale,CO,81022,,N,,x,38.114610,-104.382672,g1,,x,,x,2017-11-26,G,,N,,x
Diamond D Dairy,20161256004,G,4513 CR 32,Longmont,CO,80504,64205,G,,x,40.218628,-105.004764,g1,,x,,x,2016-04-11,G,,N,,x
Dinky Dairy and Grill,20041119677,G,790 Cumberland Dr.,Jefferson,CO,80456,,N,,x,39.288659,-105.716070,g1,,x,,x,2004-04-01,G,,N,,x
Docheff Dairy,19991241191,G,1441 Weld County Road 28,Longmont,CO,80504,64205,G,,x,40.190975,-105.028160,g1,,x,,x,1999-12-22,G,,N,,x
Dos Picos' Dairy,20111309521,G,2252 S. COUNTY ROAD 7,Loveland,CO,80537,35026,G,,x,40.369516,-105.002369,g1,,x,,x,2011-05-27,G,,N,,x
Double R Dairy,19971209477,G,,,,,,M,,x,,,M,,x,,x,1997-12-29,G,2002-10-01,G,,x
Double W Farm Dairy,19981107871,G,26215 County Rd 65,Holyoke,CO,80734,48005,G,,x,40.616678,-102.051782,g1,,x,,x,1998-06-10,G,,N,,x
Dove Meadow Dairy,19871361690,G,10571 COUNTY ROAD 37,Fort Lupton,CO,80621,62014,G,,x,40.155299,-104.715932,g1,,x,,x,1978-12-28,G,,N,,x
Dreim Dairy,20061137144,G,10954 COUNTY RD 149,Matheson,CO,80830,,N,,x,39.027910,-103.978613,g1,,x,,x,2006-03-31,G,,N,,x
Dulce Dairy,20031380473,G,25562 County Road 46,Kersey,CO,80644,62035,G,,x,40.316193,-104.571633,g1,,x,,x,2003-12-02,G,,N,,x
Duo Dairy,19891057738,G,6875 NCR 9,Loveland,CO,80538,35026,G,,x,40.685493,-105.019917,g1,,x,,x,1989-05-25,G,,N,,x
Dyecrest Dairy,19931064224,G,1137 N COUNTY RD 1,Fort Collins,CO,80524,35009,G,,x,40.605281,-104.948469,g1,,x,,x,1993-06-21,G,,N,,x
Dyelands Dairy,20001203151,G,1137 N. COUNTY RD 1,Fort Collins,CO,80524,35009,G,,x,40.605281,-104.948469,g1,,x,,x,2000-10-19,G,,N,,x
E. and J. Dairy,20031301462,G,10859 COUNTY RD 76 1/2,Windsor,CO,80550,64225,G,,x,40.545498,-104.853234,g1,,x,,x,2003-09-19,G,2012-11-30,G,,x
Eagle View Dairy,20121571210,G,9602 County Rd 20,Fort Lupton,CO,80621,62014,G,,x,40.130845,-104.874775,g1,,x,,x,2013-01-01,G,,N,,x
Empire Dairy,19951157899,G,1473 County Rd. S,Wiggins,CO,80654,44016,G,,x,40.261680,-104.122528,g1,,x,,x,1995-12-26,G,,N,,x
Faulkner Dairy II,19941036529,G,300 E 16TH ST STE 301,Greeley,CO,80631,62022,G,,x,40.413464,-104.676080,g1,,x,,x,1994-03-29,G,,N,,x
Foss Dairy Farm,19991205069,G,32970 COUNTY RD 59,Gill,CO,80624,,N,,x,40.478630,-104.507534,g1,,x,,x,1999-11-01,G,,N,,x
Fresno Dairy,19891013917,G,,,,,,M,,x,,,M,,x,,x,1989-03-03,G,,N,,x
Front Range Dairy,20041358229,G,9743 cr 16,Fort Lupton,CO,80621,62014,G,,x,40.105608,-104.874675,g1,,x,,x,2004-10-13,G,,N,,x
Front Range Jersey Dairy,20131161925,G,28615 CR 17,Windsor,CO,80550,64225,G,,x,40.415365,-104.907911,g1,,x,,x,2013-03-12,G,,N,,x
Fruition Farms Dairy and Creamery,20101467420,G,2108 S Nile Street,Lakewood,CO,80228,30055,G,,x,39.677477,-105.175782,g1,,x,,x,2010-08-20,G,,N,,x
G W Dairy Company,19871360686,G,,,,,,M,,x,,,M,,x,,x,1978-12-07,G,1999-10-01,G,,x
